Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gpt Consistency,Gpt Accuracy,Gpt Fluency
성급한 판단,"[여자/16세]
---
친구들이 모두 A고등학교를 가겠대.  내신이 좀 어려워도…  거기 가야 친구들이랑 계속 친하게 지낼 수 있을까?  내가 다른 학교 가면 다들 멀어질까봐 무서워.  혼자 남으면 어쩌지?  새로운 친구는 절대 못 사귈 것 같아.  결국 혼자 남는 거겠지.
",GEMINI,2,3,3,3,3,3
확대와 축소,"[남자/14]
---
중간고사 성적표를 받았다. 수학 80점.  사촌형은 항상 90점 이상이었는데… 내가 저 점수밖에 못 받은 건 다 무릎 부상 때문일 거야.  운동을 못해서 집중력이 떨어진 거겠지.  결국 난 형처럼 될 수 없어.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[남자/18]
---
발표를 망쳤다.  내 발표 때문이 아니었을까. 모두 나를 쳐다보는 것 같았다.  분명 다른 애들 발표도 엉망이었는데…  다들 나만 욕하고 있을 거야.  아무도 나랑 말 안하려 할 거고, 친구도 잃을 거다. 이젠 아무도 날 좋아하지 않을 거야.
",GEMINI,2,2,3,3,3,3
확대와 축소,"[여자/14]
---
시험 점수가 80점이었어. 친구는 90점이 넘었대.  내가 조금만 더 공부했으면…  80점도 나쁘지 않은데, 왜 90점이 안됐을까 후회만 해.  결국,  다음 시험도 대충 공부할 것 같아.  난 망했어.  항상 이렇게 될 거야.
",GEMINI,2,3,2,2,3,2
확대와 축소,"[여자/16세]
---
친구가 옮긴 학교에 적응 못 할까 봐 불안해.  버스도 한 시간에 한 대 뿐이고, 택시는 너무 비싸.  괜히 전학 온 건 아닌지,  혼자가 될까 봐 두려워.  결국 옛날처럼 외톨이가 될지도 몰라.  내 성격 탓이겠지.  어쩌면… 자퇴해야 할까?
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[여자/13세]
---
점심시간, 혼자 도시락 먹는데 또 걔네들이 웃으면서 내 쪽을 쳐다봤어.  다들 나 싫어하는 거겠지.  아무도 나랑 말 안 걸고,  내가 뭘 잘못한 걸까?  학교에선 아무도 날 좋아하지 않아.  전학 가고 싶어.
",GEMINI,2,3,2,3,3,3
'해야 한다' 진술,"[남자/18]
---
수능이 코앞인데, 뭘 해야 할지 모르겠다.  해야 할 공부는 산더미인데, 몸은 자꾸만 침대에 붙어있고.  결국 또 밤샘 공부는 실패했고, 내일 시험 망칠 게 뻔하다.  어차피 나는 안 될 거야.  모두가 나를 비웃을 거야.
",GEMINI,2,2,2,2,3,3
확대와 축소,"[여자/14]
---
교복을 입으니 숨 막히는 것 같았다.  작년 교복이 이렇게 꽉 꼈던가?  내 몸은 폭삭 무너진 낡은 건물 같다.  모두 날 이상하게 볼 거야. 아마 나만 뚱뚱할 거야.  다이어트는 방학 때… 그때까지 견딜 수 있을까?
",GEMINI,3,3,3,3,3,3
개인화,"[여자/18]
---
걔 때문에 또 망했어. 내가 먼저 장난친 건데, 걔 반응이 너무 과해서 내 잘못인 것 같아.  다시는 걔랑 말도 안 걸어야지.  내가 뭘 잘못했는지 모르겠어.  결국 또 나만 나쁜 사람 된 기분이야.  다 내 탓이야.
",GEMINI,2,3,2,2,3,3
부정적 편향,"[여자/16세]
---
수업 중 실수로 발표 자료를 망쳤다.  선생님의 낮은 시선과 친구들의 웃음소리가 귓가에 맴돈다.  내가 부족해서 그런 거겠지.  다른 애들은 잘만 하는데, 나만 이렇게 서툴다.  결국 또 혼자 남겨졌다.  다시는 발표 안 해야지.
",GEMINI,2,2,3,2,3,3
개인화,"[여자/15세]
---
민지에게 내 비밀을 말했는데, 민지가 수현이에게 말했대.  수현이는 나한테 웃으면서 그걸 말했어.  내가 민지에게 따지려 했더니, 민지는 화를 냈어.  내 잘못인 것 같아.  모두 나 때문이야.  다시는 아무에게도 말하지 않아야지.  결국엔 다 떠날 거야.
",GEMINI,3,3,2,2,3,3
감정적 추론,"[여자/15세]
---
새 교복 값이 너무 아까워.  고등학교 입학 준비도 벅찬데,  돈 걱정까지 하니 숨이 막혀.  엄마한테 말씀드려야 하나… 아,  그냥 낡은 중학교 교복을 입고 다닐까.  어차피  새로운 학교에서 아무도 날 모르는데.  그래도 괜찮을까?
",GEMINI,3,3,3,3,3,3
부정적 편향,"[남자/17]
---
또 시험 망쳤어.  전교 꼴찌는 당연하고, 친구들도 나랑 얘기 안 해.  내가 뭘 잘못했는지 모르겠어. 아마 내가 쓸모없는 존재라 그런 거겠지.  실업계 가는 게 나을까? 어차피 인생 망한 거.
",GEMINI,2,3,2,3,3,3
부정적 편향,"[여자/17]
---
엄마의 웃는 얼굴이 떠올랐다.  중학교 때 친구들과 찍은 사진을 보니 다들 행복해 보였다.  나는 왜 이렇게 힘들까?  고등학교를 자퇴한 후, 뭘 해야 할지 모르겠다.  내 선택이 모두 잘못된 것 같다.  다시 학교에 가고 싶지만, 이미 늦었다는 생각뿐이다.  모두 나만 빼고 잘되는 것 같아.
",GEMINI,2,3,3,3,3,3
흑백 사고,"[여자/17]
---
시험 성적표를 받았다. 7등급.  미술 실력은 예전 같지 않고, 피아노는 손도 대지 않았다.  대학은 어떻게 갈까.  결국 아무것도 할 수 없다는 얘기다.  모든 게 막막하다.  미래는 암흑뿐이다.
",GEMINI,2,3,2,3,3,3
감정적 추론,"[여자/15세]
---
수학여행 간다는데 벌써부터 걱정돼.  재미없을 것 같고, 친구들이랑 안 맞을까 봐.  집에 있으면 편할 텐데… 선생님은 꼭 가라고 하시겠지.  어차피 즐겁지도 않을 거야.  가기 싫어.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/15세]
---
방과 후, 텅 빈 교실. 친구들의 웃음소리가 귓가에 맴돈다.  내 모습은 초라해 보인다.  나는 바보 같고, 아무것도 잘하는 게 없다.  그들의 행복은 나와는 다른 세상의 이야기처럼 느껴진다.  결국, 혼자 남았다.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/15]
---
내가 실수한 건 알지만, 친구들이 나를 멀리하는 것 같아.  내 얘길 들어주지 않고, 웃음소리가 점점 작아지는 것 같아.  내가 뭘 잘못했는지 모르겠어.  아마도 내가 싫어졌나 봐.  모두 나를 싫어하는 거 같아.  혼자인 것 같아.
",GEMINI,2,2,2,3,3,3
감정적 추론,"[여자/17세]
---
친구 수진이가 내 얘길 듣지 않아.  평소엔 잘 웃던 애가 요즘 나만 보면 시큰둥해.  내가 뭘 잘못했나?  아마 내가 싫어진 거겠지.  다른 친구들과 웃고 떠드는 모습에  마음이 찢어진다.  내가 부족해서 그런 걸까.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/17]
---
시험 성적표를 받았다. 80점대 초반이 대부분이었다.  내가 잘하는 건 없다고 생각했다. 친구들은 모두 90점대인데… 내가 이렇게 성적이 안 좋은 걸 보니 대학에 갈 수 없을 것 같다는 생각이 들었다.  결국 나는 아무것도 할 수 없는 사람일지도 몰라.
",GEMINI,2,3,2,3,3,3
확대와 축소,"[여자/16세]
---
기말고사가 코앞인데,  수학 문제집 몇 페이지 푼 게 전부야.  내가 망칠 거라는 생각에,  도서관에 앉아 있어도 집중이 안 돼.  하루 종일 앉아 있었지만,  실제 공부는 몇 시간 안 했어.  결국 다 망치겠지.  다른 애들은 다 잘할 텐데.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/15세]
---
어제 또 엄마한테 혼났다.  발걸음 소리만 들어도 심장이 쿵 내려앉는다.  숨 막히는 기분.  선생님 목소리까지 날카롭게 들리고,  수업 내용이 하나도 안 들어와.  내가 뭘 잘못했는지도 모르겠고,  그냥 모든 게 짜증나.  머릿속이 하얘져서 아무것도 생각나지 않아.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[남자/15]
---
친구들이 나랑 놀지 않아. 내가 뭘 잘못했는지 모르겠어. 아마 내가 싫어서 그런거겠지.  다들 나를 싫어하는 것 같아. 학교에 가는 것도 힘들어.  혼자인 것 같아.  이젠 아무도 날 좋아하지 않을 거야.
",GEMINI,2,3,2,3,3,3
감정적 추론,"[여자/15]
---
중학교 때 일 때문에,  새 학교에서도 나를 싫어할까 봐 두려워.  내가 잘못한 건 맞지만,  다른 애들도 그랬는데 왜 나만 이렇게 찍히는 걸까?  고등학교 생활,  망칠까 봐 불안해.  아무도 날 좋아하지 않을 것 같아.
",GEMINI,3,3,2,3,3,3
확대와 축소,"[남자/16세]
---
수학 숙제 하나 틀렸다고 선생님이 엄청 혼냈다.  내 실력 전체를 부정하는 것 같았다.  앞으로는 아무리 노력해도 소용없을 거야.  결국 난 낙제할 거고,  모든 게 망칠 거다.  다 내 잘못이야.
",GEMINI,2,3,2,2,3,3
감정적 추론,"[여자/16세]
---
병원 예약 문자를 보고 손이 떨렸다.  엄마한테 말해야 하는데, 실망하실까 봐 두렵다.  내가 괜히 예민한 건지,  모두 나를 이상하게 볼까 봐 걱정이다.  결국,  말하지 못하고 문자를 지웠다.  괜찮아질까?
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/15세]
---
담임 선생님께서 갑자기 학교를 떠나신다는 소식에 마음이 무너졌다.  새 선생님은 어떨까,  내가 적응 못하면 어쩌지?  분명 잘못될 거야.  모든 게 엉망이 될 거라는 불안감에 휩싸였다.  평화로운 일상이 깨질까 봐 두려워 잠 못 이루는 밤이다.
",GEMINI,3,3,3,3,3,3
과잉 일반화,"[남자/18세]
---
수학 시험 망쳤어.  다 틀렸을 거야.  항상 이 모양이니까.  다음 시험도 망칠 거고,  결국엔 재수할 거야.  내 인생은 끝장났어.  아무것도 잘하는 게 없어. 친구들도 날 싫어할 거야.
",GEMINI,2,3,2,2,3,3
감정적 추론,"[남자/17]
---
시험을 망쳤다.  내 잘못이 분명해.  또래들은 다 잘하는데 나만…  이대로라면 친구들도 나를 싫어하게 될 거야.  결국 혼자가 되겠지.  내가 쓸모없는 인간이라는 증거야.
",GEMINI,3,3,2,3,3,3
부정적 편향,"[여자/17세]
---
친구 수현이가 웃으며 내 옷을 칭찬했지만, 진심이 아닌 것 같아.  예전엔 그런 말을 진심으로 해줬는데, 요즘엔 다 가식처럼 느껴져.  내가 싫어졌나?  다시는 걔랑 놀고 싶지 않아.
",GEMINI,2,2,2,2,3,3
감정적 추론,"[여자/16세]
---
방학이지만, 잠 못 이루는 밤.  불안한 마음에 잠자리에 들면 괜히 더 초조해져.  새벽까지 뒤척이다 학교 수업 시간에 졸고, 친구들의 시선이 느껴져 숨고 싶어.  내가 이렇게 힘든 건, 내가 부족해서 그런 거야.  내일도 똑같겠지.
",GEMINI,3,3,3,3,3,3
낙인찍기,"[여자/16세]
---
소소한 실수에도 엄청 과민하게 반응하는 내 모습이 싫다.  선생님께 칭찬받았는데도,  다른 애들 시선이 느껴져서  괜히 쑥스럽고 초라하게 느껴졌다.  내가 너무 예민한 걸까?  아무도 신경 안 쓸텐데.  괜히 혼자 맘 상하고 망쳤다는 생각뿐이다.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/18]
---
모의고사 성적표를 받았다.  내 점수는 턱걸이였다.  아무리 노력해도 부족할 것 같다.  결국 대학은 못 가는 건가.  나는 실패할 거야.  앞으로의 삶도 암울하다.  숨이 막힌다.
",GEMINI,3,3,2,3,3,3
긍정 축소화,"[여자/14]
---
반에서 1등 했지만, 전교 1등은 아니잖아.  전교 1등은 전국 1등급 학생들만 있는 특목고 간다는데… 나는 저들처럼 될 수 없을 거야.  결국 나는 평범한 고등학교 가서 평범하게 살겠지.  내 노력은 의미 없어.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/17]
---
또 험담하는 소리가 들렸어.  저번처럼 나쁜 의도는 아니었겠지만,  다들 나를 싫어하는 것 같아.  숨 막혀.  내가 뭘 잘못했는지 모르겠어.  행복해질 수 없어.  모두가 나를 싫어한다면...  살고 싶지 않아.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[여자/15]
---
고등학교 진학 설명회에서 친구들은 원하는 학과를 확정했대.  나는 아직 뭘 해야 할지 몰라 불안해.  모두 나보다 앞서나가는 것 같고,  내가 뒤처지는 것 같아.  잘해야 하는데,  아무것도 잘하는 게 없어.  결국 실패할 거야.
",GEMINI,2,3,2,3,3,3
'해야 한다' 진술,"[여자/17]
---
시험이 코앞인데, 아무것도 손에 잡히지 않아.  잘 봐야 한다는 압박감에 숨이 막힐 것 같아.  결과가 좋지 않으면 안 된다는 생각에 매일 밤 잠 못 이루고,  계속 울어.  이대로는 안 될 것 같아.  다 잘해야만 해.
",GEMINI,3,3,3,3,3,3
부정적 편향,"[여자/17세]
---
방과 후, 친구들 웃음소리가 들렸지만, 혼자 남겨진 기분이었다.  내가 실수한 부분만 계속 떠올랐다.  분명 잘못은 아니었는데,  내 탓인 것 같았다.  행복할 자격이 없다는 생각에 괜히 눈물이 났다.  모두가 나를 싫어하는 것 같았다.
",GEMINI,3,3,3,3,3,3
개인화,"[여자/15세]
---
점심시간, 혼자 도시락 먹는데 다들 나 쳐다보는 것 같았어.  내가 뭘 잘못했나?  웃는 소리도 나한테 하는 말 같고,  시선이 따가워.  아무도 나랑 말 안 걸고,  다 내 탓인 것 같아.  내가 싫어서 피하는 걸까?  
",GEMINI,2,3,2,3,3,3
확대와 축소,"[여자/15]
---
어제 엄마한테 또 혼났다.  시험 성적이 나빴던 건 내 잘못이지만,  세상 모든 게 다 망한 것 같아.  내가 뭘 해도 괜찮아질 리 없다는 생각에,  또 밤새 잠 못 이루고 울었다.  이렇게 무능한 내가 싫다.  내 인생은 끝장난 거야.
",GEMINI,2,3,2,2,3,3
부정적 편향,"[여자/14]
---
엄마는 동생의 그림 실력을 칭찬하며 미술학원을 보내주셨지만, 내가 같은 말을 했을 땐 무시하셨다.  내 그림은 쓰레기 취급 당한 기분이다.  친구들과 그림 이야기를 나누는 것조차 괴롭다.  결국, 집에 가는 대신 도서관에 숨었다.  내 그림 실력은 영원히 인정받지 못할 거야.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/16세]
---
시험 결과가 나왔다.  내 점수는 최악이었다.  모든 노력이 무의미하게 느껴진다.  다 내 잘못이고,  난 아무것도 할 수 없다는 생각뿐이다.  숨 막히는 절망감에 휩싸였다.  살아갈 이유를 찾을 수 없다.  모든 게 싫다.
",GEMINI,2,3,2,3,3,3
'해야 한다' 진술,"[남자/15]
---
내일 발표인데 준비를 안 했어.  해야 할 건 산더미인데, 뭘 먼저 해야 할지 모르겠어.  게임부터 해야겠지?  아,  하지만 발표 준비해야 해.  망했어.  결국 밤새워서 준비해야 할 거야.  젠장.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/17]
---
친구들이 내 험담을 한다는 생각에 숨 막혀.  수업시간에도 집중이 안 돼.  시선이 다 나에게로 향하는 것 같고,  내가 뭘 해도 다 웃는 것 같아.  결국 화장실도 혼자 못 가겠어.  전학 가고 싶어.  다 싫어.  내가 뭘 잘못했는지 모르겠어.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/11세]
---
수업 중 실수로 발표 자료를 떨어뜨렸다.  선생님과 친구들의 시선이 느껴졌다.  내가 너무 서툴러서 다들 실망했을 거야.  분명 나 때문에 수업 분위기가 망쳐졌을 거다.  다시는 발표할 수 없을 것 같아. 너무 창피하고 미안해.
",GEMINI,3,3,3,3,3,3
확대와 축소,"[여자/18세]
---
거울 속 내 모습은 늘 초라해.  반에서 제일 예쁜 애가 웃는 모습은 밝아 보이는데, 내가 웃으면 그냥 어색해 보일 뿐이야.  나처럼 평범한 애가 좋은 대학에 갈 수 있을까?  아마 못 갈 거야.  예쁜 애들은 다 잘될 테니까.  내가 가진 건 아무것도 없어.
",GEMINI,3,3,2,3,3,3
부정적 편향,"[여자/17]
---
전학 갈 학교는 시험 성적도 낮고, 친구도 없을 거야.  지금 학교는 기숙사비가 너무 비싸지만, 적어도 내가 아는 사람들이 있잖아.  전학 가면 모든 게 낯설고,  내가 뒤처질까 봐 두려워.  결국, 아무것도 얻지 못할 거야.
",GEMINI,2,2,2,2,3,3
흑백 사고,"[여자/14]
---
방학인데 뭘 해야 할지 모르겠어. 친구들은 다 여행 가거나 학원 다니던데, 나는 집에서 핸드폰만 보고 있어.  내가 뭘 잘하는 것도 아니고, 재밌는 것도 없으니깐.  모두 나보다 훨씬 나은 것 같아.  나는 아무것도 아닌가 봐.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/17]
---
걔가 내 쪽을 계속 쳐다봐.  점심시간에 내 옆에 앉더니, 친구랑 얘기하는데 자꾸 나만 봐.  혹시 내가 맘에 드는 건가?  아니면, 그냥 걔 성격이 그런 건가?  아, 망했어.  내가 또 혼자 착각하는 거겠지.
",GEMINI,2,3,2,3,3,3
과잉 일반화,"[여자/17세]
---
선생님께서 나만 칭찬 안 해.  다른 애들은 다 칭찬받는데… 내 그림 실력이 부족한 건 당연해. 아무도 날 좋아하지 않아.  결국 혼자인 거지.  내 그림은 쓰레기야.  모두 나를 무시하는 거야.
",GEMINI,2,3,2,2,3,2
감정적 추론,"[여자/15세]
---
학원 숙제는 다 끝냈는데, 시험이 너무 걱정돼.  잘 볼 수 있을까?  결과가 안 좋으면 친구들이 나를 어떻게 생각할까 두려워.  괜히 혼자 불안해져서 잠도 안 와.  내가 부족해서 그런 거 같아.
",GEMINI,3,3,3,3,3,3
흑백 사고,"[여자/17세]
---
수학 시험 점수가 80점이었다.  망쳤다.  다른 애들은 다 90점 넘었을 거야.  나는 역시 쓸모없는 아이야.  대학도 못 갈 거고,  결국 낙오자겠지.  내 인생은 끝장났어.
",GEMINI,2,3,2,2,3,3
감정적 추론,"[여자/15]
---
동아리 발표 연습 중,  숨이 턱 막혔어. 심장이 터질 것 같아.  다들 날 쳐다보는 것 같고, 실수할까 봐 미칠 것 같아.  내가 망치면 다 끝장이야.  아무도 날 좋아하지 않을 거야. 그냥 집에 가고 싶어.
",GEMINI,3,3,3,3,3,3
'해야 한다' 진술,"[여자/17세]
---
몸살 기운이 느껴져도 숙제를 해야 해.  내일 시험인데, 안 하면 안 되잖아.  설마 시험 못 보겠다고 쉴 수는 없지.  결국 밤새 숙제를 했지만,  머리가 띵하고 아무것도 안 들어왔어.  해야 한다는 생각만 가득했어.
",GEMINI,3,3,3,3,3,3
성급한 판단,"[남자/19세]
---
재수 끝에 대학 합격 통보를 받았지만, 기쁘지 않다.  내 점수로는 더 좋은 곳을 갈 수 있었는데,  성급한 판단으로 지원을 잘못했다.  결국 후회만 남았다. 친구들은 다 원하는 대학에 갔는데…  나는 망한 것 같다.
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/15세]
---
점심시간, 친구 수연이랑 얘기하다 말이 끊겼어.  내가 뭘 잘못 말했나?  아무도 나랑 얘기 안 하는데,  다들 나 싫어하는 걸까?  내가 뭔가 부족해서 그런 건 아닐까 계속 불안해.  수연이도 나 피하는 것 같아.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/17]
---
옆 반 친구가 자꾸 쳐다보는 것 같아.  내가 먼저 인사했는데,  시큰둥하게 반응해서 상처받았어.  분명 나 싫어하는 거야.  아무리 생각해도 내가 부족해서 그런 거겠지.  다시는 말 걸지 않아야겠어.  친구는 어렵고, 혼자 있는 게 편해.
",GEMINI,2,3,3,2,3,3
낙인찍기,"[여자/15세]
---
시험 망쳤다.  내 잘못이 아니야.  선생님이 너무 어렵게 냈어.  분명 다른 애들도 다 똑같이 힘들었을 거야.  그래, 맞아.  다 내 탓이 아니야.  다른 애들도 다 똑같이 성적이 나빴을 거야.  내가 낙제하는 건 아니겠지?
",GEMINI,3,3,3,2,2,3
과잉 일반화,"[여자/17세]
---
친구들이 또 나 빼고 영화 보러 갔대.  내가 뭘 잘못한 걸까?  항상 나만 배제되는 것 같아.  다들 나랑 있으면 재미없나?  아무도 날 좋아하지 않는다는 생각에 숨이 막혀.  나 혼자 남겨지는 게 두려워.  내가 문제인가 봐.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/16세]
---
방에 혼자 앉아 있는데, 갑자기 울적해졌다.  시험 성적이 안 좋을까 봐 불안하고, 친구들과 어울리지 못하는 내 모습이 초라하게 느껴진다.  내가 잘못된 걸까?  아무것도 잘 안되는 것 같아.  이대로 괜찮을까?
",GEMINI,3,3,3,3,3,3
낙인찍기,"[여자/15]
---
내일 수학 시험인데, 발표 준비를 못 했어.  목소리가 작아서  잘 안 들릴까 봐 걱정돼.  친구들은 다 잘할 텐데, 나만 못하면 어쩌지?  내가 늘 조용해서 친구가 없는 것도 다 내 목소리 때문일 거야.  결국 혼자 남게 될 거 같아.
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[여자/15세]
---
아침에 국을 쏟았어.  엄마는 잔소리하고,  친구 수지는 깔깔 웃었어.  결국,  점심시간에도 혼자 먹었지.  모두 내가 서투르다는 거야.  앞으로도 늘 혼자일 것 같아.
",GEMINI,2,2,2,2,3,3
감정적 추론,"[남자/15세]
---
책상 서랍에 숨겨둔 낙서장이 걸릴까 봐 불안해.  엄마가 혹시라도 발견하면 실망하실까 봐 두려워.  내가 뭘 잘못했는지 계속 생각하게 돼.  내 비밀이 들통 날까 봐 잠도 못 이룰 것 같아.
",GEMINI,3,3,3,3,3,3
과잉 일반화,"[여자/15세]
---
엄마의 싸늘한 말투에 또 울컥했다.  학교에서 친구들이 나를 무시하는 것 같았다.  분명 내가 잘못한 건 없는데,  모두 나를 싫어하는 것 같아.  어제도, 그제도,  늘 그랬던 것처럼.  다신 학교에 가지 않을 거야.  모든 게 다 싫다.
",GEMINI,2,3,2,2,3,3
흑백 사고,"[여자/15]
---
시험 결과가 나왔다. 90점이 넘었지만, 100점이 아니라는 사실에 좌절했다.  모두가 나를 부러워할 거라고 생각했는데, 내 점수는 완벽하지 않았다.  결국, 나는 아무에게도 말하지 않았다.  내가 100점을 받지 못한 것은 완전히 실패한 것이니까.
",GEMINI,2,2,3,2,3,3
과잉 일반화,"[여자/18]
---
고등학교 2학년, 반 배정이 잘 돼서 친구들이랑 친해졌지만, 벌써부터 3학년이 걱정돼. 1학년 때처럼 또 혼자가 될까 봐.  중학교 때도 1, 3학년엔 친구가 없었어.  좋았던 2학년처럼 되지 않을까봐 불안해.  이번에도 망치면 영원히 혼자인 거 같아.
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/16세]
---
시험 성적표를 받았다. 80점. 친구 수진이는 90점이 넘었다.  수진이가 나를 비웃는 것 같았다.  내가 부족해서 그런 거라고 생각하니 눈물이 났다.  다시는 수진이랑 말도 안 해야지.  내 점수는 망친 거고,  우정도 끝난 거야.
",GEMINI,2,2,2,2,2,3
확대와 축소,"[여자/14]
---
친구들이 내 옷을 보고 수근거렸다.  분명 촌스럽다고 생각했을 거야.  다른 애들 옷은 다 예쁜데, 난 왜 이렇게 옷 고르는 눈이 없을까?  아마 내일도 똑같은 소리를 들을 거고,  결국 난 학교에서 항상 혼자인 거겠지.
",GEMINI,2,2,2,2,3,3
'해야 한다' 진술,"[여자/15세]
---
선생님께 혼났어.  내가 실수한 건 맞지만,  다른 애들도 똑같이 했는데 왜 나만 혼내는 거지?  눈물이 쏟아질 것 같아.  내가 꼭 잘못해야만 하는 걸까?  모두가 나를 싫어하는 것 같아.  이런 내가 너무 싫다.  어떻게 해야 할까?
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/18]
---
새로운 친구들과 어울린 지 석 달.  웃지만,  왠지 모르게 불안해.  내 이야기에  제대로 귀 기울이는 걸까?  표정을 읽을 수가 없어.  어쩌면  나만  착각하는 걸지도 몰라.  소외되는 것 같아.  다시  옛 친구들과  연락해야 할까?  행복해 보이는  모습은  가짜일지도 몰라.
",GEMINI,3,3,2,3,3,3
확대와 축소,"[여자/16세]
---
어제 친구랑 말다툼했어. 내가 먼저 화를 냈지만, 내 말투가 조금만 더 좋았더라면…괜히 싸웠어.  결국엔 내 잘못인데,  친구가 나를 싫어하게 된 것 같아.  이젠 아무것도 못할 것 같아.  모든 게 다 망했어.
",GEMINI,2,2,3,3,3,3
흑백 사고,"[남자/19]
---
수능 성적표를 받았다.  예상보다 훨씬 낮았다.  원하는 대학은커녕,  재수도 힘들 것 같다.  모든 게 끝났다.  나는 실패자다.  아무것도 할 수 없다.  희망이 없다.
",GEMINI,3,3,2,3,3,3
'해야 한다' 진술,"[여자/17세]
---
고등학교 생활은 힘들어.  매일 아침 등교해야 한다는 생각에 숨이 막혀.  결석하면 성적이 떨어질까 봐, 친구들에게 뒤처질까 봐 불안해.  그냥 집에 있고 싶어.  내가 잘 해내야만 해.  하지만, 뭘 해야 할지 모르겠어.  나는 망할 거야.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/14]
---
소현이가 갑자기 내 쪽을 피하더라.  내가 무슨 잘못을 했을까?  평소와 다르게 말도 안 걸고, 눈도 안 마주쳐.  아마도 내가 실수한 게 분명해.  다른 친구들과 어울리는 모습에 마음이 쿵 내려앉았다.  내가 뭘 잘못했는지 모르겠어.  내 탓일 거야.
",GEMINI,3,3,3,3,3,3
과잉 일반화,"[여자/14]
---
수업 중 실수로 선생님께 혼났어.  내가 뭘 잘못했는지도 모르겠어.  다들 날 비웃는 것 같고, 친구들도 나랑 안 놀려고 하는 것 같아.  내일도 학교 가기 싫어. 아마 계속 이럴 거야.  모두 나를 싫어할 거야.  혼자 남게 될 거 같아.
",GEMINI,2,3,2,3,3,3
부정적 편향,"[여자/17]
---
시험 점수가 낮았다.  민지는 내 점수를 물어보며 비웃었다.  항상 나보다 잘한다며 자랑한다.  그녀의 칭찬은 가짜 같다.  다른 애들과 웃는 모습에 질투가 났다.  친구인데, 왜 이렇게 힘들까.  나를 시험 삼아, 짓누르는 것 같다.  손절해야 할까.  모든 게 짜증나.
",GEMINI,3,3,2,2,3,3
감정적 추론,"[여자/16세]
---
점심시간, 친구들 웃음소리가 짜릿했다.  순간, 괜히 눈물이 쏟아졌다.  어제 엄마와의 말다툼,  내가 뭘 잘못했던 걸까.  결국 혼자 도서관에 숨었다.  모두 나를 싫어하는 걸까?  내가 망쳐버린 걸까?  숨 막히는 자괴감에 휩싸였다.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/14세]
---
친구가 또 나를 무시했어.  내가 뭘 잘못했는지 모르겠어.  아무도 날 좋아하지 않는 것 같아.  숨 막히고,  모든 게 다 싫어.  이렇게 살아봤자 뭘까.  차라리 사라지고 싶어.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/16세]
---
방 안 가득 쌓인 참고서를 보니 숨이 막혔다.  내일 발표 때문에 불안해서 잠도 못 잤다.  결과가 좋지 않을 거란 생각에 미리부터 눈물이 핑 돌았다.  발표 연습을 해도 괜히 틀릴까 봐  심장이 쿵쾅거렸다.  망하면 어쩌지?  다 끝장이야.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/16세]
---
도서관에서 공부하다 엄마 생각이 났다.  엄마가 아프면 어쩌지?  내가 늘 짜증을 내서 그런 건 아닐까?  괜히 불안해져서 책장을 덮었다.  숨이 턱 막히고 눈물이 핑 돌았다.  집에 전화해야 할까, 말까 고민하다 핸드폰만 쥐었다.
",GEMINI,3,3,3,3,3,3
낙인찍기,"[여자/15]
---
새 학기라 떨렸다.  내가 찐따처럼 보일까 봐.  아무도 나랑 말 안 걸면 어쩌지?  새로운 친구들과 어울리지 못할까봐 두려웠다.  괜히 혼자 앉아 있는 내 모습이 초라하게 느껴졌다.  나만 빼고 다들 웃고 떠드는 것 같았다.
",GEMINI,2,3,3,3,3,3
