Cognitive Distortion,Generated Story,Generative Model,Gpt Consistency,Gpt Accuracy,Gpt Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
확대와 축소,"[여자/중2]
---
제 몸매가 너무 뚱뚱해 보여서 속상해요. 다른 친구들은 날씬해 보이는데 저는 전혀 그렇지 않아요. 단 몇 키로만 빼면 옷이 더 잘 맞을 텐데, 때로는 전 이대로도 충분히 예쁘다고 생각해요.",CLAUDE,3,3,3,2,2,3
성급한 판단,"[여자/14세]
---
중3 오빠가 저랑 말을 잘 안해요. 친해지고 싶지만 오빠가 너무 철벽이어서 어떻게 해야 할지 모르겠어요. 혹시 오빠가 저를 이성으로 볼까 걱정되네요. 그래도 좋아하는데 이대로는 너무 힘들어요.",CLAUDE,3,2,3,3,2,2
흑백 사고,"[여자/15세]
---
처음부터 A와 친해질 수 없었어. 나도 A를 좋아하지만 다른 애들이 먼저 A를 좋아하고 있어. 이제 A와 연인이 될 기회는 영영 없어 보여. 아무도 나에게 관심이 없는 것 같아.",CLAUDE,2,3,2,2,3,2
성급한 판단,"[여자/15세]
---
제주도 수학여행이 얼마 남지 않아 긴장된다. 학교에서 제공한 정보만 믿다가 정작 가서는 걸을 수 없을지도 모른다. 선생님께 제안했지만 엄마는 기대만 버린다고 하시네. 이런 상황에서 어떻게 해야 좋을지 모르겠어.",CLAUDE,2,2,2,2,2,3
과잉 일반화,"[여자/15세]
---
어릴 때부터 가수가 되고 싶었지만, 남들에 비해 춤과 노래 실력이 부족하다고 생각해요. 오디션에 도전하고 싶지만, 실패할 것 같아 그마저도 시도하지 못해요. 이대로 영원히 가수의 꿈을 포기해야 할까요?",CLAUDE,3,3,3,2,3,3
부정적 편향,"[여자/15세]
---
학교 댄스 동아리에 들어가봤지만, 춤을 잘 못 춰서 혼나기만 하네요. 선배들이 어려운 춤을 가르쳐 주는데, 몸이 따라가질 않아요. 우리랑은 잘 맞지 않는 거 같아 그냥 나가고 싶어요.",CLAUDE,3,3,2,3,3,3
과잉 일반화,"[여자/16세]
---
우리 학교 미술수업 따라가기 힘들어요. 계속 실수하고 다른 애들만 잘하는 것 같아요. 그냥 보건계열로 전학가서 간호사가 되는 게 나을 것 같아요. 공부도 싫고 하기 싫어요. 영어만 조금 재미있는데 요즘엔 아예 하기 싫어져요.",CLAUDE,2,3,2,2,3,2
흑백 사고,"[여자/17세]
---
공부에 시간을 쓰느라 친구들과 보내는 시간이 너무 적어요. 부모님께서 성적에 대해 걱정하시고 저도 대학 가는 게 걱정돼요. 스트레스를 받아 우울해지고 점점 짜증이 나요. 이대로는 안 될 것 같아 죽고 싶어요.",CLAUDE,2,2,2,2,2,2
성급한 판단,"[여자/15세]
---
내 마음을 알아주질 않는 선배가 화가 나. 새로 들어온 동아리 후배가 선배를 좋아하는 것 같아 짜증이 나. 선배가 그 후배와 친해진다면 아주 슬플 것 같아.",CLAUDE,3,3,3,2,2,2
확대와 축소,"[여자/17세]
---
내가 좋아하는 남자아이가 나를 포기했다고 해요. 친구들도 나를 비난하던데 이제 그를 완전히 잊어야 할까요? 매일 보는 얼굴에 질투가 나고 연락도 끊기 두려워 말도 못 걸어요. 어떻게 해야 할지 모르겠어요.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[여중생/15세]
---
시험 준비도 힘들고 친구도 없어 정말 외롭네요. 엄마와 선생님에게 말하기도 두려워서 그냥 혼자 힘들어하고 있어요. 이대로 계속 힘들면 차라리 사라져버리고 싶어요.",CLAUDE,3,3,3,3,3,2
감정적 추론,"[여자/17세]
---
키가 작아 보여 어른스럽지 않아 보이고, 옷도 잘 맞지 않아 너무 속상해. 매일 열심히 노력해도 변화가 없어 포기하고 싶어. 이대로는 영원히 아이 같은 모습일 것 같아 너무 걱정돼.",CLAUDE,3,3,3,2,3,2
개인화,"[여자/중3]
---
잘하는 게 없고 부모님께 효도도 못하는 나. 돈만 달라하는 내 모습이 너무 싫어. 애들에게 놀림받는 이 구질한 세상에서 왜 태어났을까. 죽고 싶다.",CLAUDE,3,3,2,2,3,2
성급한 판단,"[여자/15세]
---
친구들과 다시 가까워지고 싶지만, 이제는 내가 더 이상 중요하지 않은 사람이 된 것 같아 두렵습니다. 주저하다 기회를 놓칠까 봐 걱정이에요.",CLAUDE,2,2,3,2,2,3
확대와 축소,"[여자/17세]
---
공부를 정말 못하는 나는 꿈도 없고 내가 잘하는 게 없어. 친구들은 다 진로와 꿈이 뚜렷한데 나는 항상 뒤처지는 것 같아. 늦었지만 열심히 하고 싶지만 오히려 더 좌절되네.",CLAUDE,3,3,2,2,3,3
과잉 일반화,"[여자/15세]
---
내 성적이 다른 친구들에 비해 밀리는 것 같아 불안해요. 공부할수록 더 뒤쳐지는 것 같고, 대학 갈 수 있을지 너무 걱정돼요. 주변에서 나를 못할 거라고 하니 포기하고 싶어요.",CLAUDE,2,3,3,2,2,3
'해야 한다' 진술,"[여자/17세]
---
학교에서 성적이 떨어져 너무 힘들어요. 친구들도 이해해주지 않아 고립되어 있어요. 집에 와도 부모님과 소통이 되지 않아 혼자 우울함에 빠져있습니다. 세상이 너무 힘들고 살 의욕을 잃어가고 있어요.",CLAUDE,3,3,3,2,2,3
흑백 사고,"[여자/16세]
---
유학 준비에 쫓기면서도 성적 좋아지지 않고, 컴퓨터로 게임만 하는 내가 너무 형편없어 보입니다. 이대로 가면 가족들에게 짐만 될 것 같아 죽고 싶습니다. 하지만 그럴 순 없어, 조금이라도 달라져야 해요.",CLAUDE,3,2,3,2,3,3
흑백 사고,"[남자/16세]
---
간호사가 되고 싶었지만 공부를 잘 못해서 포기해야 할 것 같아요. 공부를 열심히 하지 않아서 절대 성공할 수 없을 거예요. 이 상황에서는 희망이 없어 보여요.",CLAUDE,2,3,2,2,3,2
과잉 일반화,"[여자/15세]
---
친구들이 날 '김치년'이라고 부르네. 내가 예전에 많은 남자친구를 사귀었다는 소문 때문이야. 이제 좋아하는 친구가 생겼는데, 소문 때문에 그 친구도 날 피하는 것 같아. 이대로 사귈 수 없어서 너무 답답하고 힘들어.",CLAUDE,2,3,3,2,3,2
낙인찍기,"[여자/18세]
---
세상이 나를 멸시할 거라 생각합니다. 학교에서는 누구도 날 이해하지 못할 것 같아 혼자 지냅니다. 이런 나를 보며 부모님도 실망하실 거예요. 나는 그저 쓰레기 같은 존재일 뿐입니다.",CLAUDE,3,3,2,2,3,2
확대와 축소,"[여자/17세]
---
올해 고1이 된 나는 사는 것이 너무 힘들어. 중3때부터 시작된 트라우마로 사람들을 마주보기가 두려워졌고, 학교에 가도 손이 떨리고 어지러워서 아무것도 할 수가 없어. 설득서를 써서 자퇴하고 싶었지만, 40장 이상 써야 한다며 욕을 먹었어. 앞으로의 미래가 보이지 않아 죽는 게 더 낫다고 생각해.",CLAUDE,3,3,2,2,3,2
흑백 사고,"[남자/16세]
---
왜 이렇게 삶이 하나도 되지 않을까? 왜 아무도 날 이해해주지 않는 걸까? 이제 그만 포기하고 싶어. 아무 일도 하기 싫어지네. 다 절망적이야.",CLAUDE,2,2,3,2,2,2
부정적 편향,"[여자/17세]
---
방과 후 집에 돌아와 혼자 있어도 아무것도 하기 싫어. 부모님이 챙겨주셔서 무엇이든 해결되었는데, 이제는 스스로 해결할 수 없어 걱정돼. 이 상황이 영원히 지속될 것 같아 막막해.",CLAUDE,3,3,3,2,3,2
성급한 판단,"[여자/15세]
---
친구와의 갈등이 계속되고 있어요. 그 친구가 화해할 생각이 없어 보이네요. 정말 기분이 최악이에요. 학교도 가기 싫고 스트레스만 쌓이는 것 같아 너무 힘들어요. 누군가 들어주길 바라며 혼자 고민하고 있습니다.",CLAUDE,3,2,3,2,2,3
'해야 한다' 진술,"[여자/15세]
---
기숙사에 있으면 나는 항상 우울해진다. 학교 공부에 집중할 수 없고, 매일 집에 전화만 하게 된다. 5개월째 지냈지만 기숙사 생활에 전혀 적응하지 못하겠다. 이대로는 안 될 것 같다.",CLAUDE,3,3,3,2,2,3
확대와 축소,"[여자/16세]
--- 
최근 학교에서 새로운 친구들을 사귀어 보려 했지만, 나와 성격이 너무 다른 것 같아 어색해지는 것 같아요. 내가 더 조용해지고 소극적으로 변하고 있는 것 같아 걱정됩니다.",CLAUDE,2,3,3,2,2,2
과잉 일반화,"[여자/15세]
---
학교에 가기 싫어요. 친구들이 저를 피하고 따돌리니까요. 이 상황이 계속되면 모두가 저를 싫어할 거예요. 앞으로 어떻게 살아야 할지 모르겠어요.",CLAUDE,2,3,3,2,3,3
'해야 한다' 진술,"[여자/17세]
---
엄마가 화나시면 저를 비난하시고 언어로 학대하세요. 저는 절대로 엄마가 기대하시는 완벽한 딸이 될 수 없어요. 그래서 죽고 싶은 마음이 들어요. 해결책은 없을까요?",CLAUDE,3,3,2,3,2,2
감정적 추론,"[여자/16세]
---
우리 집은 가난해서 늘 고민이에요. 공부해도 성적이 오르질 않고, 가족들도 사이가 좋지 않아 힘들어요. 이렇게 살아갈 것 같으니 앞날이 암담하네요.",CLAUDE,3,3,3,3,3,2
흑백 사고,"[남자/16세]
---
진로를 확실히 정하지 못한 나는 무엇을 해야 할지 모르겠다. 이상적인 직업만을 꿈꾸다 현실을 직시하니 할 일이 없어졌다. 공부할 이유도 없어 보이고, 미래에 대한 희망이 사라졌다.",CLAUDE,3,3,3,3,3,3
과잉 일반화,"[여자/17세]
---
방과 후 음악 동아리 활동을 시작했지만, 생각했던 것처럼 재미가 없어서 금세 관심이 사라졌어요. 아무것도 오래 하지 못하는 내가 실망스러워요.",CLAUDE,2,3,3,2,2,3
감정적 추론,"[남자/15세]
---
내가 먼저 친구에게 게임하자고 했는데, 친구가 오래 하더라. 내가 용돈을 받아서 돈도 주고 사과했는데 친구가 화나서 무시할 것 같아. 친구를 잃을까 걱정돼.",CLAUDE,3,3,2,2,3,2
확대와 축소,"[여자/14세]
---
건강검진에서 내 몸무게가 높게 나온 것 같아 겁이 났어. 주변에 다들 날씬해 보이는데 나만 뚱뚱해 보이는 것 같아 자괴감이 들어. 운동할 시간이 없어서 다이어트도 잘 안 되네. 이렇게 살빼기 힘들면 그냥 포기해야 할까?",CLAUDE,3,3,3,2,2,3
성급한 판단,"[여자/16세]
---
처음엔 상대방이 열심히 대화했었는데, 며칠 전부터 갑자기 단답만 주고받아. 내가 뭘 잘못했나? 지금 고백하는 게 나을까? 상대방이 실망한 걸까, 아니면 단순히 바빠져서일까? 여러 가지 생각이 꼬리에 꼬리를 물고 있어.",CLAUDE,3,3,3,2,2,3
감정적 추론,"[여자/16세]
---
학교에서 발표할 때마다 목소리가 떨려요. 발음이 엉망이 되고 말이 자꾸 어그러져요. 친구들이 저를 비웃는 것 같아 점점 더 말하기를 피하게 돼요. 이러다 보니 고립되고 있다는 생각이 듭니다.",CLAUDE,3,3,3,3,3,3
과잉 일반화,"[여자/15세]
---
1학기가 지나도록 친구가 없어, 언젠가 중1때 싸웠던 친구의 소문이 번져 전교생이 나를 싫어할 것이라 생각돼. 수련회 가도 혼자일 거야. 이대로는 영원히 친구를 사귈 수 없을 것 같아.",CLAUDE,2,3,2,2,3,2
감정적 추론,"[여자/17세]
---
개학이 코앞이라니 마음이 좋지 않아요. 잠깐 보던 친구들도 바빠서 자주 못 만나요. 혹시 친구들이 저를 피해서 멀리하는 건 아닐까 걱정돼요. 혼자서 학교 생활이 힘들 것 같아요.",CLAUDE,2,3,3,2,3,3
감정적 추론,"[여자/15세]
---
방학 때마다 친구들과의 추억이 떠올라 힘들어요. 우리 반이 갈라지면서 다시는 모두 함께 지내기 힘들 것 같아요. 내가 잘못해서 친구를 잃은 것 같아 너무 괴롭습니다.",CLAUDE,3,3,3,2,3,3
감정적 추론,"[여자/15세]
---
엄마와 아빠의 다툼이 걱정돼요. 혹시 부모님이 이혼하면 저는 어디로 가야 할까? 집에 가기 싫고 학교도 걱정돼요. 그냥 집에서 혼자 있는 게 좋을 것 같아요.",CLAUDE,2,3,3,2,3,3
성급한 판단,"[남자/15]
---
아직 성장기가 오지 않았다니 걱정이 됩니다. 동생과 거의 비슷한데 언제쯤 키가 클까요? 부모님 키에 비해 너무 작은 것 같아 앞으로 어떻게 될지 불안합니다. 빨리 자라지 않으면 잘못된 것은 아닌지 걱정돼요.",CLAUDE,3,2,3,2,3,2
확대와 축소,"[남자/17세]
---
허벅지가 너무 두꺼워 보여 운동을 해도 변화가 없어 좌절된다. 내 체중은 보통인데도 불구하고 늘 '과체중'처럼 느껴진다. 교복도 불편하고 남들에게 어색하게 보일까 걱정된다.",CLAUDE,3,3,3,2,3,3
확대와 축소,"[여자/16세]
---
내 얼굴이 너무 크게 보여서 항상 불편해요. 친구들은 뭐라 하지 않지만 어떻게 보이는지 걱정돼요. 어떻게 해야 더 작아 보일지 모르겠어요. 이런 모습이 싫어요.",CLAUDE,3,3,3,2,3,2
감정적 추론,"[여자/14세]
---
시험 기간 동안 친구들이 장난치고 수다만 떨어서 화가 나. 공부할 때마다 집중이 안 되고 계속 투덜거리게 돼. 내 점수가 평균보다 낮은 편이라 좋은 대학 갈 수 있을지 걱정돼.",CLAUDE,3,3,2,2,2,3
감정적 추론,"[남자/16세]
---
엄마 때문에 이런 병이 생겼다고 생각하지만, 나의 병이 엄마 탓이 아닌데도 엄마를 원망하게 돼. 아빠는 내 병원비만 주고 관심이 없어서 죽고 싶어. 난 없어지면 가족들 부담은 없어질 거야.",CLAUDE,3,3,2,2,3,2
과잉 일반화,"[여자/15세]
---
수학여행에서 친구들과 잘 지냈는데, 다른 친구들이 날 피하고 있어. 내가 무엇을 잘못했나? 이제 모두가 나를 싫어하는 것 같아. 어떻게 하면 다시 친구가 될 수 있을까?",CLAUDE,2,3,3,2,2,3
확대와 축소,"[여자/16세]
---
성적이 맘에 들지 않는 부모님께 매일 핀잔을 듣다 보니 점점 공부에 집중할 수가 없어요. 아무리 노력해도 성적이 올라가지 않아 죄책감에 시달리고 있습니다. 앞으로도 이런 상황이 계속될 것 같아 걱정됩니다.",CLAUDE,2,3,3,2,2,3
흑백 사고,"[여자/16세]
---
경찰이나 가수 중에 하나를 선택하기가 너무 어려워. 영어와 한국사 실력이 좋지 않아서 경찰이 되기 힘들 것 같고, 가수가 되어도 유명해질 수 없을까봐 걱정돼. 어떤 선택을 해도 실패할 것 같아 포기하고 싶어.",CLAUDE,3,2,3,2,3,3
개인화,"[여자/15세]
---
모두가 날 탓하는 것 같아. 오빠 문제도, 가정 문제도 내 잘못이라고 생각해. 이대로라면 가족이 다 사라질 것 같아 무서워. 더는 이렇게 살 수 없어.",CLAUDE,3,3,3,2,3,3
감정적 추론,"[여자/15세]
---
이렇게 운동할 시간도 없고, 계속 스트레스 먹으면서 살이 빠질 리가 없어. 학교에서 점심 먹고 물도 많이 마시는데 왜 계속 살이 찌는 걸까? 내 체중 관리는 영영 불가능한가 봐.",CLAUDE,3,3,3,2,2,2
성급한 판단,"[여자/17세]
---
아직 진로를 결정하지 못해 걱정이에요. 무엇이 잘 되는지 확신이 없어 스트레스를 받습니다. 앞으로의 미래가 불투명해 보여 불안해요. 하고 싶은 일을 찾기 힘들어요.",CLAUDE,3,2,3,3,2,3
흑백 사고,"[여자/17세]
---
학업에 집중하기가 어려워요. 공부할 땐 지루하지만, 게임이나 영화를 보면 재미있어서 몰두하게 돼요. 뭔가 뚜렷한 목표가 없어서 망설여져요. 열정이 생긴다면 좋겠지만, 제가 열정이 없는 사람이라니 걱정되네요.",CLAUDE,3,3,3,2,2,3
긍정 축소화,"[여자/17세]
--- 
학교생활이 지루하고 힘들어요. 공부도 잘 안되고 앞으로의 미래가 불확실해 보여요. 왜 행복지수가 낮게 나왔는지 이해할 수 없어요. 그냥 막막하고 살 맛이 나질 않아요.",CLAUDE,2,2,3,2,2,2
감정적 추론,"[여자/16세]
---
내 삶은 쓸모없어. 죽으면 어떻게 될까? 아무도 날 이해하지 못해. 나만 불편한 존재인가 봐. 앞으로 어떻게 살아야 할지 모르겠어.",CLAUDE,3,3,3,3,3,2
감정적 추론,"[여자/15세]
---
엄마께서 작은 실수로 나를 엄하게 혼내시면 항상 끔찍한 상황이 벌어질 것만 같아요. 죽고 싶은 마음이 드는 순간이 많지만, 어떻게 대처해야 할지 모르겠어요. 엄마와의 갈등을 피하고 싶지만, 매번 부정적인 결과만 생각하게 돼요.",CLAUDE,3,3,3,3,3,3
확대와 축소,"[여자/17세]
---
내신 성적이 좋지 않아 스튜어드 꿈을 이루기 어려울 것 같아요. 특성화고라서 더 힘들 것 같고, 어디 대학에 갈지도 걱정되네요. 모든 게 잘 안 될 것 같아요.",CLAUDE,3,3,3,2,3,2
성급한 판단,"[여자/15세]
--- 
체육관에서 내 운동화가 사라졌어. 분명 내가 제자리에 두고 갔었는데, 친구들이 그건 내 운동화가 아니라고 하네. 이 친구들이 나를 속이고 있는 건 아닐까? 혹시 내 물건을 몰래 가져간 게 아닐까 걱정돼.",CLAUDE,2,3,3,2,3,3
성급한 판단,"[여자/17세]
---
갑자기 예전처럼 친구들이 나를 피하는 것 같아요. 정말 아무 잘못도 없는데 왜 이러는지 모르겠어요. 그 친구들과의 관계가 어려워지면서 혼자 외로워질까 봐 걱정돼요.",CLAUDE,2,3,3,2,2,3
확대와 축소,"[남자/18세]
---
막차를 놓쳐 거리를 헤매다 걱정되는 부모님께 연락도 못하겠다. 집에 가면 또 부모님께 핀잔을 들을까 걱정된다. 학업도 포기했는데 꿈마저 이루지 못한다면 나 자신도 포기해야 할까?",CLAUDE,3,3,3,2,3,3
감정적 추론,"[여자/15]
---
제가 중3이라 한림예고 준비하기엔 시간이 부족할까봐 걱정돼요. 노래와 춤을 좋아하지만 정말 갈 수 있을지 확신이 들지 않아요. 이렇게 준비를 늦춰서 정말 실패하는 게 아닐까 두려워요.",CLAUDE,3,3,3,3,3,3
부정적 편향,"[여자/15세]
---
중간고사에서 수학과 영어 점수가 저조했지만, 다른 과목은 평균 이상으로 잘 봤어. 하지만 부모님께서 계속 실수한 부분만 지적하셔서 점점 자신감이 떨어지고 우울해지는 것 같아. 정작 잘한 부분은 인정받지 못하니 힘들어.",CLAUDE,3,3,3,3,3,3
감정적 추론,"[여자/15세]
---
내가 수업 시간에 적극적으로 발표하면 다른 조용한 친구들이 나를 피하는 것 같아. 그래서 나는 그 친구들이 나를 싫어하는 것 같아. 하지만 그들과 친하게 지내고 싶어.",CLAUDE,3,3,3,2,3,3
흑백 사고,"[여자/17세]
---
집에 가는 길에 버스 기사님이 나를 무시하시는 것 같아요. 엄마도 날 이해하지 못하시니 앞으로 아무도 날 도와주지 않을 거예요. 이대로라면 과연 내 인생이 나아질 날이 있을까요?",CLAUDE,2,2,3,2,2,2
확대와 축소,"[여자/15세]
---
드디어 제가 좋아하는 일을 할 수 있게 됐지만, 제 실수로 기회를 놓쳐 너무 실망했어요. 이후로 그 일만 생각하면 후회와 자괴감이 듭니다. 앞으로 어떻게 해야할지 모르겠네요.",CLAUDE,2,3,3,2,3,3
확대와 축소,"[남자/14세]
---
중학교에서 키와 몸무게가 작아 보여 다른 친구들이 나를 놀려요. 자신감이 많이 떨어졌어요. 근데 시간이 지나도 변화가 없어서 점점 자신감이 없어져요. 친구들과 어울리기도 힘들어요.",CLAUDE,2,3,2,2,2,2
흑백 사고,"[여자/17세]
---
엄마는 공부 안한다고 날 나무라시지만, 난 열심히 노력 중이야. 괜히 스트레스만 받게 해서 정말 짜증 나. 부모님이 이해해주지 않아 너무 화가 나, 이대로는 안 될 것 같아.",CLAUDE,2,3,2,2,3,2
과잉 일반화,"[여자/15세]
---
다시 엄마께서 실망하셨어요. 저는 절대 변하지 않는다고 생각해요. 학교에서도, 집에서도 늘 틀리는 행동만 하는 것 같아요. 엄마도 저를 믿지 않으시는 것 같아요. 이번에는 정말 용서받기 어려울 것 같아요.",CLAUDE,2,3,3,2,3,3
성급한 판단,"[여자/16세]
---
내 친구는 항상 핸드폰에만 시간을 보내더라. 말투도 가끔 달라지는데, 나를 싫어하는 건 아닐까? 나도 친구에게 자주 연락하는데 답이 없어 걱정돼. 혹시 내가 실수라도 한 건지 모르겠다.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[남자/16세]
---
학교에서는 친구들이 나를 이상하게 바라보고, 학원에서도 성적이 좋지 않다며 나를 비난합니다. 집에 와서도 게임을 못하면 가족들에게 쓸모없다는 말을 듣습니다. 어디를 가도 나는 실패자 같습니다.",CLAUDE,3,3,3,3,3,3
'해야 한다' 진술,"[여자/17세]
---
공부가 싫어지고 점점 나태해져 가는 것 같아요. 매일 놀기만 하다 보니 성적도 내려가고 있지만, 공부를 해도 별로 달라질 것 같지 않아 고민이에요. 어른들이 지켜보시니 공부를 그만두긴 싫지만, 열심히 할 수 있을까 걱정돼요.",CLAUDE,3,3,3,2,2,3
확대와 축소,"[여자/16세]
---
친구들이 오늘 나와 싸워서 무시했어. 내가 그들에게 다가가자 그렇게 비웃더라. 나는 겁이 나서 그냥 도망갔지만, 나에게 무엇을 하려는 건지 궁금해. 내가 잘못한 것일까? 모두가 나를 피하는 것 같아 너무 슬프다.",CLAUDE,2,2,3,2,2,2
감정적 추론,"[남자/16세]
---
혹시나 누군가가 날 알아차릴까 걱정돼. 페이스북에서 모르는 사람이 친구 신청을 보내서 겁이 나. 찾아오면 어쩌지 싶어 걱정이 돼. 이런 고민을 누군가에게 말하면 오히려 나만 큰일 날까봐 무서워.",CLAUDE,3,3,3,3,3,2
과잉 일반화,"[여자/17세]
---
전학 가서도 친구를 사귈 수 없었고, 고향으로 돌아가니 이상한 소문이 돌아 고립되었다. 이렇게 어디에도 소속감을 느끼지 못하니 자포자기하게 되어 삶의 의지마저 잃어가고 있다.",CLAUDE,3,3,3,3,3,3
과잉 일반화,"[여자/15]
---
작년에 열심히 공부해서 좋은 성적을 냈는데, 올해는 왜 점점 내려가는지 모르겠어요. 친구들은 저보다 노력하지 않는데도 제 점수를 뛰어넘어서 정말 좌절됩니다. 이대로는 제 꿈인 약사가 되기 어려울 것 같아 너무 걱정돼요.",CLAUDE,2,3,3,2,3,3
성급한 판단,"[여자/14]
---
그 친구가 나에 대해 나쁘게 말했다니 믿을 수가 없어. 내가 뭘 잘못했는지도 모르겠고, 이제 다들 나를 놀릴 것 같아. 어떻게 해야 할지 모르겠어. 이런 일이 일어나지 않았으면 좋았을 텐데.",CLAUDE,3,2,3,2,2,3
과잉 일반화,"[여자/15세]
---
사춘기라 그런지 부모님과의 관계가 어렵습니다. 친구들이 훨씬 편하고 좋은데 부모님은 이해해주시지 않네요. 이대로 계속되면 점점 더 힘들어질 것 같아요. 저는 답이 없는 아이인가 봐요.",CLAUDE,3,3,3,2,2,3
흑백 사고,"[여자/16세]
---
내 남친은 틴트 바르고 남자들과 어울리는데 자기랑 상대가 안 된다고 말하네. 너무 화나서 지금 헤어질까 고민 중이야. 애초에 저런 남자랑 왜 사귀었을까.",CLAUDE,3,2,2,2,3,2
낙인찍기,"[여자/15세]
---
수업시간에 벌을 받아서 너무 속상해. 선생님께서 내 행동을 계속 지켜보시겠다고 하셨어. 다른 애들은 조용히 공부하는데 나만 특별취급받는 것 같아 화가 나. 선생님도 나를 틀에 박힌 문제아로 생각하시는 거 같아.",CLAUDE,2,2,3,2,2,3
흑백 사고,"[여자/17세]
---
아빠가 나를 배신했다. 이 가족은 완전히 망가졌다. 이제 내 삶도 끝났다. 죽어버리고 싶어 견딜 수가 없다. 다른 선택지가 없다면 차라리 아빠를 죽이는 게 낫겠다.",CLAUDE,3,3,2,2,3,2
성급한 판단,"[여자/18세]
---
우리 학년 반장이 날 무시하는 것 같아요. 최근에는 인사도 받아주지 않고 제 말을 귀담아 듣지 않는 것 같아요. 반장이 날 좋아하지 않는 거 같아서 다가가기 두려워요.",CLAUDE,2,2,3,2,2,3
확대와 축소,"[여자/15세]
---
전 중학생이지만 주변 친구들처럼 활발하거나 인기있지 않아요. 혼자 있는 게 편하고 사진찍는 것도 싫어해요. 수업시간에도 발표하거나 말하기를 피하고 숨어있어요. 모든 게 재미없고 무기력해요. 나는 다른 친구들과 완전히 다른가 봐요.",CLAUDE,2,3,3,2,3,2
흑백 사고,"[여자/17세]
---
공부를 해도 성적이 오르지 않아 이제 포기할 수밖에 없다. 대학에 갈 수 있을 리가 없어 보인다. 꿈도 없고 목표도 없는 채로 살아가는 것이 너무나 괴롭다.",CLAUDE,3,3,3,3,3,3
흑백 사고,"[여자/16세]
---
늘 내가 활발하고 밝았는데 친구들과 가까워지자 갑자기 소심해졌어. 다시 옛날 성격으로 돌아가고 싶지만 잘 안됐어. 시험 기간만 되면 우울해지고 점점 심해져서 힘들어.",CLAUDE,2,2,2,2,2,2
확대와 축소,"[남자/14]
---
제가 겨드랑이에 털이 났다니 다들 키가 안 클 거라고 합니다. 어깨도 좁고 머리도 큰데, 키가 안 크면 정말 답이 없어요. 노력을 안 했지만 어쨌든 제가 작년보다 크지 않다니 실망스럽습니다.",CLAUDE,2,3,2,2,2,2
부정적 편향,"[여자/15세]
---
프사를 바꿨는데 다른 친구들은 관심이 없어 보여요. 내 게시물에 좋아요도 잘 달지 않아 점점 소외된 것 같아 불안해요. 다른 친구들만큼 인기가 없나 봐요.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[여자/16세]
---
남자 친구를 믿을 수가 없어요. 몇 번이나 뒤통수를 맞았으니까요. 이제는 모든 남자를 의심하게 돼요. 이 상황을 어떻게 타개해야 할지 모르겠네요.",CLAUDE,3,3,3,3,3,3
개인화,"[여중생/14세]
---
다른 애들이 나를 싫어하는 것 같아. 내 행동이 잘못된 걸까? 저 아이들 말이 맞는 건지 모르겠어. 이렇게 혼자가 된 건 내 탓일까?",CLAUDE,3,3,3,2,3,3
감정적 추론,"[여자/17세]
---
학업에 치여 매일 우울한데, 좋아하는 취미활동도 더 이상 도움이 되지 않아요. 친구들도 제 마음을 이해하지 못하고, 늘 잔소리만 하네요. 앞으로도 이런 현생이 계속될 거라니 정말 힘들어요.",CLAUDE,2,3,3,2,3,3
과잉 일반화,"[여자/15세]
---
화장하는 애들과 놀고싶지만 이미 무리를 지어버려서 못끼고, 화장 안하는 애들과 놀자니 자존심이 상해. 이동수업이나 모둠 과제에서도 혼자 남겨질 것 같아 걱정되네.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[여자/16세]
---
담을 넘어서 벌점을 받았지만, 엄마는 이런 일들을 용납하지 않고 나를 쫓아내려 합니다. 이번에도 분명 엄마가 화를 낼 것이고, 언젠가는 집에서 내쫓길 것 같아 두렵습니다. 이제 어디로 가야할지 모르겠습니다.",CLAUDE,2,2,3,2,3,2
감정적 추론,"[남자/15세]
---
평소보다 공부를 열심히 했지만 시험 점수가 오르지 않아 죄책감에 시달리고 있어. 게임을 한다고 해서 공부를 완전히 포기한 건 아니지만, 부모님에게 들킬까 두려워 점점 숨기게 되었어.",CLAUDE,3,3,3,2,2,3
'해야 한다' 진술,"[여자/17세]
---
친구가 좋아하는 것 같아요. 하지만 그 친구는 이미 다른 사람과 사귄다고 했어요. 이제 어떻게 해야 할지 모르겠고, 정말 우울해요. 이대로는 안되는데, 마음대로 되지도 않네요.",CLAUDE,3,3,3,2,2,2
확대와 축소,"[여자/16세]
---
학교 복도를 걸어가는데 친구들이 웃고 있어요. 눈길이 마주치자 비웃는 듯한 표정을 짓는 것 같아요. 교실로 가는 길에 아이들이 수군거리는 것 같아요. 무슨 말을 하는지 궁금해요.",CLAUDE,2,3,3,2,3,2
감정적 추론,"[여자/15세]
---
예전에 좋아했던 선생님이 떠났어. 지금은 새 선생님이랑 공부하지만 집중이 되지 않아. 밤마다 울면서 예전 선생님이 그립다고 생각해.",CLAUDE,3,3,3,3,3,2
