Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
감정적 추론,"[여자/16]  
---  
수업 시간마다 제가 좋아하는 선생님을 보며, 왜 나한텐 관심이 없을까 고민해요. 다른 학생들과 이야기하는 모습을 보면, 저에게는 절대 그런 애정이 없다고 느껴져요. 어떻게 하면 인정을 받을 수 있을까요?",GPT,3,3,2,3,3,2
'해야 한다' 진술,"[여자/14]  
---  
집에서 책을 읽다가 중요한 내용을 자꾸 잊어버려서 마음이 조마조마해요. 엄마가 던진 ""치매야?""라는 말에 가슴이 철렁 내려앉고, 나름 노력해도 잘 안 되는 게 너무 힘들어요.",GPT,3,2,3,2,2,3
확대와 축소,"[남자/15]  
---  
주말에 친구들과 농구를 하면서 키가 작아서 힘들다는 생각이 쌩긴다. 축구로 더 높이 뛰고 싶었는데, 겨드랑이 털이 나면서 더 이상 클 수 없다는 불안감이 엄습해온다. 정말 억울하다.",GPT,2,2,2,2,2,2
성급한 판단,"[남자/15]  
---  
친구들과 놀다가 갑자기 하늘이 캄캄해졌어요. 연락이 없는데, 내 생각이 너무 부정적이네요. ""내가 싫어졌나?"" 하는 의심이 드네요. 카톡 보내면 불편해할까? 고민이 깊어집니다.",GPT,2,2,2,2,2,2
'해야 한다' 진술,"[여자/14세]  
---  
방학식이 다가오는데, 애들이랑 놀고 싶은 마음이 커요. 하지만 엄마가 준 돈이 아까워서, 뭘 사달라고 말하는 게 너무 미안해요. 성적표도 신경 쓰이고, 결국 혼자 있어야 할까 고민이에요.",GPT,2,3,2,3,2,3
과잉 일반화,"[여자/16]  
---  
수업 중 친구와 언쟁을 벌였어요. 그 친구는 인기가 많아서, 우리 반 모든 친구들이 저를 이상하게 보고 있어요. 다른 친구들은 다 나랑 안 맞고, 결국 외롭고 힘든 상황이에요. 왕따는 아닐까요?",GPT,2,3,3,2,3,3
확대와 축소,"[여자/17]  
---  
요즘 아랫배가 계속 나오고 운동하니 더 불편해요. 아무것도 안 먹어도 배가 고프고, 밥을 자주 못 먹겠어요. 전부 제 몸이 문제인 것 같고, 체중도 늘어나는 것만 걱정이에요.",GPT,2,3,3,2,2,2
감정적 추론,"[여자/15세]  
---  
친구들이랑 대화할 땐 쉽게 말하는데, 엄마와 이야기할 땐 자꾸 불안해져요. 뭔가 잘못 말할까 봐 두렵고, 그러면 잔소리 듣는 게 더 싫어지죠. 그래서 아예 아무 말도 못해요.",GPT,3,3,2,2,2,3
과잉 일반화,"[여자/15세]  
---  
얼마 전 남자친구와 잘 지내던 중, 그와의 소문이 퍼져 친구들이 멀어졌습니다. 급식도 눈치가 보이고, 사과했지만 “연 끊자”는 답만 돌아왔어요. 이제는 다 잃은 것 같아 슬프네요.",GPT,3,3,3,2,3,3
성급한 판단,"[여자/16]  
---  
그 애를 보면서 계속 부끄러워서 피했어. 만약 내가 인사했다면 걔가 기분 나빠했을까? 혹시 상처를 줬다면 어쩌지… 결국 내일도 또 피하고 말겠지, 너무 걱정돼.",GPT,3,2,2,3,3,3
감정적 추론,"[남자/17]  
---  
버스 정류장에서 말을 거는 게 너무 불안해요. 사람들이 저를 어떻게 생각할지 걱정하고, 말을 잘 못하면 오해받을까 봐 두렵죠. 혼자 있는 게 더 편한데, 그런 제 자신이 싫어요.",GPT,3,3,3,3,2,3
성급한 판단,"[여자/15]  
---  
학교에서 내가 가져간 책이 사라졌어요. 그래서 친구에게 물어봤더니, 나의 책이 있다고 하더라고요. 아마 장난치고 있는가? 혹시 나를 속이고 있는 건 아닐까, 의심이 커지네요.",GPT,2,3,2,2,2,2
과잉 일반화,"[여자/17] 
---
내가 말하면 애들이 따라 놀려. 장난이라고 하면서, 협박하는 애들도 있어. 혼자서는 아무도 내 편이 안 되니 계속 나만 불쌍하다고 놀리는 것 같아. 매일 오기 싫어...",GPT,2,3,2,2,3,2
감정적 추론,"[여자/16세]  
---  
헬스를 하며 친구와 얘기했는데, 내 몸을 보고 놀란 것 같아 마음이 불편해요. 그리고 아침에 빨리 가자고 하더니, 택배 때문에 따로 간다고 하더라고요. 나를 피하는 걸까요? 너무 속상해요.",GPT,2,3,3,2,3,2
성급한 판단,"[여자/16세]  
---  
학교에서 좋아하는 남자애에게 용기 내어 먼저 카톡을 보냈어요. 그런데 답장이 너무 짧고 무뚝뚝해서, 혹시 나를 싫어하느냐는 걱정이 가득해요. 계속 연락해야 할지, 고민이에요.",GPT,3,3,2,3,3,3
부정적 편향,"[여자/17]  
---  
미술 동아리에서 그린 그림을 친구들과 공유했는데, 반응이 이상했어요. ""이게 그림이야?""라며 비웃더니, 내 그림 노트를 마음대로 낙서하기도 했고, 정말 힘이 빠졌어요. 왜 이럴까요?",GPT,3,3,2,2,3,3
성급한 판단,"[여자/17세]  
---  
내가 수학은 괜찮은데 과학은 매번 3등급이야. 친구들은 문과도 괜찮다고 하는데, 한국지리는 완전 망했어. 과학을 더 배우고 싶은데, 문과 가면 괜찮을까 정말 걱정돼.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/17세]  
---  
중간고사 결과가 오늘 나왔다. 중국어와 한문은 잘했지만, 나머지 과목들은 거의 망쳤다. 이제는 미래에 대한 희망이 없어졌다. 승무원도 포기해야 할 것 같다. 결국 좋아하는 걸 직업으로 삼을 수 없을까?",GPT,2,3,3,2,2,3
흑백 사고,"[여자/17]  
---  
반에서 성적이 가장 낮고, 친구들과도 소원해졌다. 내 미래는 완전히 끝난 것 같아. 다시 시작할 기회가 없는 것 같은데, 어떻게든 해보려 해도 계속 실패할 것 같아 무기력하다.",GPT,2,3,2,2,3,3
확대와 축소,"[남자/18세]  
---  
길거리에서 친구들을 만나면 늘 키와 몸무게로 조롱받아요. 초중학교 시절 사진을 보면 콧대도 보이지 않아서 더 속상해요. 체중 감량해도 변할까? 수술 생각까지 하게 돼요. 정말 답답하네요.",GPT,3,3,3,2,3,2
감정적 추론,"[여자/16]  
---  
주말에 친구들과 영화를 보러 갔는데, 분위기가 별로였다. 다들 웃고 떠드는 모습이 나와는 전혀 상관없는 것 같아 외로워졌다. 이제는 진정한 즐거움 같은 건 없어진 것 같아 힘들다.",GPT,2,2,2,2,3,3
감정적 추론,"[여자/15세]  
---  
엄마가 친구들과의 만남을 제안해도, 저의 마음속에는 두려움이 커져갑니다. 대화할 수 없을 것 같고, 웃음이 나올지 의문이에요. 나만 쓸쓸하고, 모든 것이 어려운 것 같아요.",GPT,3,3,2,3,3,3
과잉 일반화,"[여자/15세]  
---  
나는 수업 중 뒤에서 친구와 떠들다가 회장이 나를 빤히 쳐다봤어. 그 순간, 내가 모든 사람에게 싫어하는 애가 된 것 같았어. 계속 연락하던 친구와도 이제는 소원해진 것 같아.",GPT,3,3,2,2,2,2
과잉 일반화,"[여자/15]  
---  
교실에서 @가 내 뒷담을 하며 웃고, &는 그 옆에서 따라 웃어. 언제나 내 그림을 조롱하며, 못난 나를 비웃는 것 같아. 다른 친구들과는 절대 친해질 수 없을 것만 같아. 슬프고, 학교 가기 싫어.",GPT,3,3,2,2,3,2
낙인찍기,"[여자/14]  
---  
게임을 지나치게 하느라 공부를 놓쳤어요. 지난주에 부모님께 심한 혼을 받고 생각해보니, 이렇게 살면 나는 미래가 없겠다는 생각이 드네요. 과연 다시 포기하지 않고 집중할 수 있을까, 두렵습니다.",GPT,3,3,3,2,2,3
확대와 축소,"[여자/14]  
---  
학교에서 친구들과의 약속을 어겼어요. 그 사실을 알고 나서 친구들이 멀어질까 봐 너무 두려워요. 이미 친하진 않은데 나만 혼자인 것 같아 숨고 싶어지네요. 정말 힘들어요.",GPT,2,3,2,2,2,3
확대와 축소,"[여자/14세]  
---  
줄 서 있을 때, 원래 친구들은 신나게 웃고 얘기하는데, 나는 혼자 서 있었다. 그 친구가 끼어들며 다들 친해지는 것 같아 소외감이 커졌다. 그래서 다시 손목을 긋고 말았다.",GPT,2,2,2,2,2,2
확대와 축소,"[여자/14세]  
---  
수학 시험을 망쳤어요. 반에서 제일 못했는데, 친구들은 다 잘하더라고요. 다른 과목은 괜찮지만 수학 하나 때문에 너무 수치스럽고, 엄마가 실망하실까 두려워요. 걱정으로 잠이 안 와요.",GPT,3,2,3,2,2,3
성급한 판단,"[여자/15세]  
---  
지금 친구들이 나를 피하는 것 같아. 나는 아프다고 두 번 결석했는데, 모두 왜 자꾸 나를 쳐다보는지 이해가 안 가. 또 병원 갔던 얘기를 하면 뭐라고 해야 할지 모르겠어.",GPT,2,3,2,2,2,3
확대와 축소,"[여자/16세]  
---  
미술 동아리에 들어가고 싶은데, 친구들은 벌써 많은 경험이 있더라고요. 나만 뒤처질까 두려워요. 늦게 시작한 건 아닌가, 경쟁에서 도태될까 걱정이 커져서 도전하기 힘들어요.",GPT,3,3,3,3,3,3
성급한 판단,"[여자/15세]  
---  
체육 시간에 내가 공을 잘 던지면 좋겠다는 생각이 드는데, 만약 잘 못 던지면 애들이 나를 비웃을까 봐 너무 불안해져. 그러다 친구들 앞에서 실수하면 내가 얼마나 싫어질까 걱정돼.",GPT,2,2,3,2,3,3
확대와 축소,"[여자/15세]  
---  
거울을 보면서 ""내 얼굴은 왜 이렇게 불균형하게 생겼지?"" 고민해요. 코도 크고 입도 작아서 더 안 어울려 보여서 스트레스가 커져만 가요. 다들 평범한데 나는 왜 이럴까.",GPT,3,3,2,2,3,2
감정적 추론,"[여자/16]  
---  
사귄 지 얼마 안 됐는데, 그와 학교에서 만나는 게 너무 어색해요. 메시지로는 잘하는데, 여긴 진짜 아무 말도 못 하겠어요. 나만 이런 걸까요? 대화하는 법 좀 알고 싶어요.",GPT,3,3,2,2,2,3
흑백 사고,"[남자/17]  
---  
최근 친구들과의 약속이 자꾸 어긋나네요. 서로 바빠 보이고, 저는 소외된 느낌이에요. 연관된 건 잘 못하겠고, 그냥 시간만 지나면 더 나쁜 상황일 것 같아 걱정이 큽니다.",GPT,2,2,2,2,2,2
성급한 판단,"[남자/16]  
---  
학교에서 이 친구가 나와 말이 없더니, 갑자기 좋아한다고 하더라. 하지만 그 이후로 나에게 메시지도 없고, 웃음도 줄어들고. 내가 뭘 잘못한 걸까? 이제 그는 나를 싫어하게 된 걸까?",GPT,2,2,2,2,2,3
확대와 축소,"[여자/17]  
---  
훈련이 끝나고 엄마와 대화할 때마다 성적에 대한 불만이 반복됩니다. 잘 받아온 날은 사랑받는 느낌이지만, 시험 성적이 나쁘면 차가운 태도로 변해요. 동생도 엄청 상처받을 것 같은데, 정말 힘드네요.",GPT,3,3,3,2,3,3
낙인찍기,"[남자/18]  
---  
고등학교에서 기분이 우울하다. 출석은 엉망이고 친구들도 나를 멀리해. 요리를 하고 싶지만 형편이 어려워서 꿈이 실현될 수 없을까 두렵다. 그냥 포기하는 게 나을까 생각한다.",GPT,2,2,2,2,2,2
감정적 추론,"[여자/18]  
---  
하교길에 친구들과 웃고 있지만, 머릿속에서는 부모님을 잃을 걱정만 뱅글뱅글. 다른 친구들 부모님은 건강한데, 왜 내 부모님만 그런 생각이 나는지. 이런 불안이 계속되니 공부도 집중이 안 돼.",GPT,3,3,3,3,3,2
과잉 일반화,"[여자/17세]  
---  
엄마가 성적에 대해 화를 내면서, 내가 잘하는 게 하나도 없다고 느꼈다. 친구들은 언제나 나를 피하고, 혼자 남겨진 느낌이 들어. 나는 도대체 뭘 해도 안 될 거라는 생각뿐이다.",GPT,2,3,2,2,2,2
과잉 일반화,"[여자/15세]  
---  
체육 시간에 절친이 다른 친구와 웃으며 이야기하는 걸 보고, 내가 항상 소외당하고 있는 것 같았어. 다시는 친구가 없을 것 같은 기분이 들어 정말 우울해. 다들 나를 싫어하는 걸까?",GPT,2,3,2,2,2,2
성급한 판단,"[여자/16세]  
---  
친구가 나와 관계를 정리한 뒤, 내 비밀을 퍼뜨리고 다녀. 이젠 누가 나를 믿고 가까이 해줄지 모르겠어. 그 친구가 언제 또 나를 공격할지 두려워, 학교에 가기도 정말 힘들어.",GPT,3,3,2,2,2,3
개인화,"[여자/16] 
---
최근 내 친한 친구가 멀어진 후, 반에서 다른 친구들과도 멀어지고 있다. 그 친구가 나를 완전히 피하는 모습이 너무 괴롭고, 나도 모르게 우울해지고 친구들이 나에게서 멀어지는 것 같다.",GPT,3,3,2,2,2,2
개인화,"[여자/16세]  
---  
하교 후 친구들과의 대화가 줄어들었어요. 누가 저를 배제하려는 건지, 혼자 남겨질까 두려워요. 다른 친구들처럼 못사귀는 것 같아 애들이 저를 싫어하는 것 같아서 너무 힘들어요.",GPT,2,3,2,2,2,2
긍정 축소화,"[여자/18세]  
---  
지금 고2인데 성적이 계속 낮아서 정말 불안해요. 친구들은 쉽게 점수 올리는데, 나는 노력해도 결과가 안 보여서 자꾸 포기하고 싶어져요. 남은 1년이 헛된 시간 같아 두려워요.",GPT,3,3,3,2,2,3
개인화,"[여자/17세]  
---  
친구와 카톡이 줄어들며 불안이 커졌어요. 그 애가 예전만큼 나에게 관심이 없는 것 같아 혼자 의심해 보네요. 내가 뭘 틀리게 했는지 모르겠고, 물어봐도 대답이 시원찮아요.",GPT,2,3,2,2,3,3
과잉 일반화,"[여자/16]  
---  
나 혼자 다닌다고 생각하니까 점점 더 외롭고, 친구들이 나를 싫어하는 것 같아. 단체 채팅방에서도 내 말은 무시되고, 사소한 일로 고립된 기분이 들어. 정말 어떻게 해야 할지 모르겠어.",GPT,2,3,3,2,3,3
감정적 추론,"[여자/17]  
---  
동생이 항상 예쁨받는 것 같아 불안하다. 하루 종일 찜찜한 기분에 괴롭다. 아무리 엄마가 노력한다고 해도 나만 힘든 느낌이다. 친구랑 이야기하면 괜히 내 마음만 더 아프다.",GPT,2,3,3,2,3,2
부정적 편향,"[여자/15]  
---  
미술 동아리에서 그림을 그리는데, 내 실력이 부족하다고 느꼈어요. 친구들은 잘한다 하지만, 나는 창의력이 없다고 생각해요. 부모님도 취미라고 하셔서 자꾸 불안해져요. 나도 하고 싶은데 힘이 빠집니다.",GPT,2,3,3,2,3,2
개인화,"[남자/17세]  
---  
부모님과의 갈등이 심한 다음 날, 친구들과의 약속이 깨졌다. 매번 내가 문제를 일으켰던 탓에 이럴 거라는 생각이 드니, 친구들이 나를 싫어하는 것만 같은 기분이 들었다.",GPT,2,3,3,2,2,3
감정적 추론,"[여자/16세]  
---  
학교에 적응 못하고 친구들한테 외면당해. 엄마가 고민 들어주지도 않는데, 만약 친구한테 도움 요청하면 나를 더 싫어할까 봐 두려워. 선생님께 말해도 상황은 나아질 것 같지 않아.",GPT,2,2,2,2,2,2
확대와 축소,"[여자/15]  
---  
학교에서 성적 때문에 친구들 모임에 갈 자신이 없어. 나는 완전히 실패한 학생 같고, 이대로는 어떤 미래도 없을 것 같아. 부모님을 실망시키고 싶지 않은데, 자꾸 무너져내려.",GPT,2,3,2,2,2,3
부정적 편향,"[여자/17]  
---  
친구들과 이야기를 나누며 의사가 되고 싶다고 말했지만, 힘든 과정이 떠올라 머리가 아파왔다. 다른 직업도 고려했지만, 단점만 생각나서 다시 주저앉았다. 졸업 전까지 목표를 찾지 못할까 두렵다.",GPT,2,3,2,3,3,3
과잉 일반화,"[여자/15]  
---  
점심시간, 난 혼자 앉아있다. 어딜 가도 나를 반겨줄 친구는 없다. 모두가 나를 피하는 것 같다. 다음 5개월도 이렇게 계속될까? 이렇게 지내는 게 정말 힘들다. 음식이 맛없다.",GPT,2,3,2,2,2,3
감정적 추론,"[여자/15]  
---  
오랫동안 친했던 친구가 이제는 나와 대화도 피하고 화면에만 집중해. 내가 무언가 잘못했나? 다른 애들과는 잘 노는 걸 보니, 나는 정말 저 쪽에서는 필요 없는 존재인가 싶어.",GPT,3,3,2,2,3,3
개인화,"[여자/16]  
---  
집에 돌아오면 항상 긴장해요. 엄마가 화를 내면 제가 잘못한 것 같고, 친구들한테도 왜 항상 힘들까 묻고 싶어요. 게임을 조금 하다 혼나면 제가 모든 문제의 원인인 것 같아요.",GPT,2,3,2,2,3,2
'해야 한다' 진술,"[여자/15]  
---  
하교 중 친구와 싸운 후, 나는 항상 웃으려 노력해요. 가난한 집안을 생각하면 부모님께 잘해야 한다는 마음이 크지만, 속은 너무 아파요. 누군가 내 마음을 이해해주길 바래요.",GPT,3,3,3,2,2,2
성급한 판단,"[여자/16]  
---  
수업 후 느끼는 답답함. 친구가 반 친구들과 카톡을 자주 하면서 내 메시지는 무시하는 듯해. 다들 나를 싫어하는 걸까? 가끔 보이는 두 친구의 애정 행동이 나를 더 힘들게 해.",GPT,2,2,2,2,2,2
성급한 판단,"[여자/15]  
---  
어제 친구가 저 없이 다른 친구에게만 메시지를 보냈어요. 그런 걸 보면 제가 그 친구에게는 필요 없나 싶고, 더욱 섭섭해져요. 여러분은 항상 연락해야 하는 건가요? 정말 고민돼요.",GPT,3,3,2,2,2,3
성급한 판단,"[여자/15]  
---  
수업 시간에 주위 친구들이 다 같은 동아리여서 외롭다. 벌써 그들은 단체 활동을 하고, 나는 혼자 남았다. 혹시 이러다가 완전히 소외될까 걱정이 커진다. 그 동아리에 들어가고 싶은데…",GPT,3,3,3,2,2,3
과잉 일반화,"[여자/16]  
---  
쉬는 시간, 친구들이 내가 좋아하는 남자애에게 나를 소개해 주려 하는데, 그는 내가 좋아하는 걸 알았을까? 부정적으로만 생각하게 돼. 나를 무시하는 것 같고, 아마 다른 여자애를 좋아할 거야.",GPT,2,3,3,2,2,2
'해야 한다' 진술,"[여자/16세]  
---  
학교에서 돌아오면 친구들과의 약속이 자꾸 미뤄져요. 항상 내가 먼저 말해야 할 것 같고, 그렇지 않으면 모두 나를 잊을까 걱정이 돼요. 반에서 저 혼자 남겨질까 두려워요.",GPT,2,2,3,2,2,3
부정적 편향,"[여자/16세]  
---  
친구와 커피숍에 갔어요. 처음엔 재미있었는데, 나만 떠드는 기분이 드네요. 주제가 없어지면 항상 내가 먼저 물어봐야 하고, 대화가 끊기면 괜히 내가 싫어진 것 같아요. 힘든 것 같아요.",GPT,2,2,3,2,2,2
부정적 편향,"[여자/14]  
---  
친구들 사이에서 그와의 과거 이야기가 나올 때마다 가슴이 철렁거려요. 그가 다른 여자와 잘 지낸다는 소문은 내 마음을 더 아프게 하고, 괜히 헤어진 게 후회돼요. 어떻게 해야 할까요?",GPT,2,3,2,2,3,3
확대와 축소,"[여자/15]  
---  
실기 학원은 곧 시작되는데, 성적이 전혀 오르지 않아 불안해요. 다른 친구들은 잘 하는 것 같은데, 나는 항상 뒤처지는 기분이에요. 예고에 갈 수 있을지, 그 생각만 하면 정말 두려워요.",GPT,2,2,3,2,2,3
긍정 축소화,"[여자/17]  
---  
이번 학기부터 과학 성적이 계속 떨어져요. 열심히 하려고 하지만 집중이 안 돼요. 엄마는 좋은 점수보다 나쁜 점수에만 신경 쓰시고, 저도 마음이 무겁네요. 더 이상 실패하고 싶지 않은데…",GPT,2,3,3,2,2,3
성급한 판단,"[남자/17]  
---  
햄버거 가게에서 그녀를 봤다. 같은 반 친구들이랑 웃고 떠드는 모습이 너무 부러웠다. 내 눈길을 피하는 것 같고, 나를 싫어하는 건 아닐까? 도저히 말을 걸 용기가 안 생긴다.",GPT,3,2,2,2,3,3
확대와 축소,"[여자/17]  
---  
어제 친구와 사이가 안 좋았어요. 좋게 풀어보려고 했지만, 상대방은 내 말을 무시하더라고요. 앞으로도 이렇게 계속될까 봐 불안해요. 정말 끝없는 싸움처럼 느껴져서 너무 힘들어요.",GPT,2,2,3,2,2,3
확대와 축소,"[여자/17]  
---  
학교 친구들은 모두 잘하는데, 나는 자꾸 성적이 떨어진다. 엄마는 대학에 대한 걱정을 하시고, 선생님은 다른 길을 찾으라고 하신다. 과연 나는 어떻게 해야 할지 막막하다.",GPT,2,3,3,2,2,3
성급한 판단,"[여자/16세]  
---  
저는 그 남자애와 완벽한 시간을 보내고 있다고 생각했죠. 그런데 그가 갑자기 연락을 끊더니, 저를 무시하는 것 같아요. 친구들은 저에게 먼저 연락하라고 하지만, 제가 무슨 잘못을 한 건지 모르겠어요.",GPT,2,3,3,2,2,3
성급한 판단,"[여자/16세]  
---  
부모님이 바쁘셔서 혼자서 책을 사러 가야 해요. 친구들이랑 함께 할 수 없어서, 제가 가면 판매원이 저를 어리다고 무시할까 봐 걱정이네요. 혹시 기분 상할까 두려워요.",GPT,2,2,3,2,3,3
감정적 추론,"[여자/17세]  
---  
시험 내내 불안한 마음이 가시지 않았어요. 아무리 노력해도 성적이 안 오르면, 소중한 꿈이 사라질 것 같아요. 친구들은 잘하는데, 나는 계속 실패하는 기분이에요. 괜히 더 무섭고 힘들어요.",GPT,3,3,3,2,3,3
성급한 판단,"[여자/16세]  
---  
교실에서 자신감 없던 나는 발표 준비를 아무리 해도 친구들의 반응이 무서워져. 나 혼자 다 못 할 것 같아 초조하고, 다들 나를 비웃을 거란 생각이 지배해. 정말 실패할 것 같아.",GPT,2,2,2,2,2,3
성급한 판단,"[남자/17]  
---  
피아노 치는 모습을 보며 누나에게 점점 빠져드는데, 저보다 멋진 남자들이 누나를 만날 생각에 마음이 무너져요. 고백도 못 할 것 같아 불안하고, 평생 후회할까 두려워요.",GPT,3,3,2,3,2,2
감정적 추론,"[여자/15]  
---  
합창대회 준비 중, 무대에 서는 생각만 해도 심장이 뛰어요. 친구들은 잘할 거라고 하지만, 저는 꼭 실수할 것 같아서 걱정이에요. 관중 앞에서 저만큼 떨리는 사람은 없을 거예요.",GPT,3,3,3,3,3,3
흑백 사고,"[여자/14세]  
---  
시험 성적이 떨어지니 포기하고 싶고, 단지 게임만 하면서 지내고 싶어. 예전처럼 잘하지 못하는 내가 싫고, 다시 잘하려고 애쓰는 게 피곤해. 이대로 계속 빠져들어가긴 싫은데, 마음이 복잡해.",GPT,2,3,3,2,3,3
확대와 축소,"[여자/15세]  
---  
학교에서 친구들이 나와의 대화 시 표정이 달라졌다. 갑자기 그들이 내 뒤에서 나에 대해 이야기하는 건 아닌지 걱정이 들었다. 집에 돌아와도 기분이 나아지지 않아 눈물이 나왔다.",GPT,2,2,2,2,2,3
긍정 축소화,"[여자/17]  
---  
그와 헤어지면서 느꼈던 부담이 이제는 그리움으로 변했어요. 매일 교실에서 그의 얼굴을 보니, 그때 내가 그를 얼마나 사랑했는지 깨달았어요. 계속 생각나서 너무 힘들어, 왜 이렇게 됐을까?",GPT,2,3,3,2,2,2
과잉 일반화,"[여자/16]  
---  
나는 중학교 친구들 앞에서 남자아이들에 대해 걱정이 많아. 지난번에 제일 많이 찔리기 시작한 기억 때문에, 지금도 그들을 보면 다가갈 용기가 없어. 그들이 나를 다시 괴롭힐까봐 두려워.",GPT,2,3,2,2,3,2
'해야 한다' 진술,"[여자/16세]  
---  
친구와 함께 여행을 계획했는데, 나는 다른 장소를 가고 싶었어요. 친구가 계속 불만을 터뜨릴까 두려워서 갈 수 없는 대신 다 맞춰주었죠. 속상하지만 내 뜻을 표현하는 게 어렵네요.",GPT,2,3,2,2,2,3
확대와 축소,"[여자/14]  
---  
야영 갔다가 피부가 많이 탔어요. 예전엔 내 피부가 자랑거리였는데, 지금은 친구들보다 더 어두워졌어요. 아예 원래대로 돌아갈 수 없는 건가요? 내가 예쁘지 않다는 생각이 드네요.",GPT,3,3,3,2,2,3
확대와 축소,"[여자/14]  
---  
중학교 1학년이 되니, 친한 친구들이 함께 다니지 않더라. 페이스북 친구들은 다들 인기 많고, 난 댓글도 별로 없고. 인맥이 좁아진 것 같아, 나한테는 뭔가 잘못된 것 같아.",GPT,3,3,2,2,3,2
성급한 판단,"[여자/15세]  
---  
친한 친구가 갑자기 나를 피하는 것 같아요. 함께 식사하자고 했더니, 내가 예전에 소홀히 대한 것 때문에 기분 나빠했다고 해요. 사과했지만, 여전히 나를 무시하는 것 같아요.",GPT,3,3,3,2,2,3
성급한 판단,"[여자/16세]  
---  
시험에서 떨어졌으니 역시 아무도 나를 좋게 생각하지 않겠지. 친구들이 공부 많이 했다고 자랑할 텐데, 난 항상 실패만 하니까. 아빠는 또 실망하겠지. 뭘 어떻게 말해야 할지 모르겠어.",GPT,2,3,2,2,2,3
감정적 추론,"[여자/17]  
---  
시험이 끝난 후, 친구들과 카페에 갔다. 그가 나를 계속 쳐다보길래 설렜지만, 그 순간 시선을 다른 곳으로 돌리고 말았다. 이제 그는 나에게 흥미를 잃은 건가? 심란하다.",GPT,3,3,3,3,3,3
감정적 추론,"[여자/17]  
---  
어제 친구들 앞에서 말이 잘 안 나와서 모두가 나를 싫어한다고 생각해버렸어요. 그 후 계속 불안하고 그들의 시선이 나를 지켜본다고 느껴요. 정말 무서워서 친구들을 멀리하고 싶어졌어요.",GPT,3,3,2,2,2,3
성급한 판단,"[여자/16]  
---  
엄마에게 친구 생일 파티에 간다고 거짓말했어요. 그러다 보니 내일 그 친구를 만날 텐데, 엄마가 사진을 보실 거예요. 그때 제가 집에 있었다고 들으시면... 진짜 큰일이야.",GPT,3,2,3,2,2,2
성급한 판단,"[여자/17]  
---  
시험 준비를 해도 성적이 조금도 오르지 않아요. 친구들은 알바하며 꿈을 위해 노력하는데, 나는 그저 게임을 하며 시간을 보내는 게 전부죠. 내가 할 수 있는 게 없다는 생각이 지배적이에요.",GPT,2,2,2,2,2,3
확대와 축소,"[여자/16세]  
---  
친구가 내 뒤에서 말한 걸 알게 되자, 나를 완전히 미워할 것 같아 불안해졌다. 사과했지만 그녀의 얼굴에서 실망이 느껴졌다. 한 번의 실수가 이렇게 큰 걸 바라지 않았는데, 계속 잊혀질까 두렵다.",GPT,2,3,3,2,2,3
과잉 일반화,"[여자/15세]  
---  
중2 때부터 성적이 계속 낮았어요. 이제 중3인데, 진짜 어떻게 공부해야 될지 모르겠어요. 교육과정은 더 어려워지고, 다른 것도 잘하는 게 없어요. 스트레스만 점점 쌓이고 있어요.",GPT,2,3,2,3,3,3
낙인찍기,"[여자/15세]  
---  
요즘 나는 항상 수학 문제를 틀리기만 한다. 엄마는 나를 보며 실망한 표정을 지어. 다른 친구들은 잘하는데, 나만 못하는 것 같아서 점점 외로워져. 내 꿈은 화장품 관련 직업인데, 말해도 무시당할까 두려워.",GPT,3,3,3,2,2,3
과잉 일반화,"[여자/17]  
---  
영어 시험 준비를 했지만, 여전히 단어도 외우기 어려워요. 오답을 보니 저만 부족한 것 같고, 친구들은 잘하는데 저는 계속 실패할 것 같아 심란해요. 앞으로도 안 될 것 같아요.",GPT,3,3,2,2,2,2
과잉 일반화,"[남자/15]  
---  
체육 시간이 끝난 후, 친구들이 농구를 잘하는 걸 보며 느끼는 무력감. 나만 못하는 것 같고, 이젠 권장 체중이 넘어서 컴플렉스가 되어버린 느낌. 계속 이렇게 못하면 아예 운동을 못할 것 같아 걱정된다.",GPT,2,2,3,2,2,2
과잉 일반화,"[여자/15세]  
---  
미디어 분야에 관심이 생겼는데, 부모님은 실업계는 실패한 길이라니. 전공 선택이 삶을 망칠까봐 두렵고, 학원에 다녀도 대학에 못 가는 것 같아 불안해. 도대체 어떻게 해야 할까?",GPT,3,3,3,2,2,2
과잉 일반화,"[여자/15]  
---  
예전에는 모두가 함께 놀았던 것 같은데, 이제는 항상 모른 척해요. 더는 재미있게 지낼 수 없는 것 같아서 슬프고, 모두가 나를 싫어하는 것 같아요. 어떻게 하면 좋을까요?",GPT,2,3,3,2,3,2
흑백 사고,"[여자/15세]  
---  
시험 결과가 나왔을 때, 너무 실망스러웠습니다. 제 모든 노력이 무의미하게 느껴졌고, 주변 친구들에게도 말하기 두렵습니다. 이제 나는 수학을 정말 못하는 거라는 생각이 다시 내 머리를 괴롭힙니다.",GPT,2,3,3,2,3,3
